key,trinomial,dcterms:coverage_temporal,artifact,xsd:gDate_earliestStart,xsd:gDate_latestStart,xsd:gDate_earliestEnd,xsd:gDate_latestEnd,skos:CloseMatch,count,lat,long
962,41GL40,Historic,,,1700 AD,1950 AD,,http://n2t.net/ark:/99152/p0m448v373x,1,30.318427,-99.064469
963,41GL401,Prehistoric,,,12550 BC,1690 AD,,,4,30.46092,-99.130418
964,41GL401,Historic,,,1700 AD,1950 AD,,http://n2t.net/ark:/99152/p0m448v373x,4,30.46092,-99.130418
965,41GL402,Historic,,,1700 AD,1950 AD,,http://n2t.net/ark:/99152/p0m448v373x,7,30.368676,-98.978052
966,41GL403,Historic,,,1700 AD,1950 AD,,http://n2t.net/ark:/99152/p0m448v373x,17,30.41748,-99.17506
967,41GL403,Prehistoric,,,12550 BC,1690 AD,,,17,30.41748,-99.17506
968,41GL404,Prehistoric,,,12550 BC,1690 AD,,,5,30.411993,-99.182265
969,41GL405,Prehistoric,,,12550 BC,1690 AD,,,6,30.425468,-99.166941
970,41GL406,Prehistoric,,,12550 BC,1690 AD,,,6,30.420157,-99.156051
971,41GL407,Prehistoric,,,12550 BC,1690 AD,,,6,30.423343,-99.155473
972,41GL408,Prehistoric,,,12550 BC,1690 AD,,,13,30.425501,-99.154977
973,41GL409,Prehistoric,,,12550 BC,1690 AD,,,5,30.427842,-99.151398
974,41GL409,Historic,,,1700 AD,1950 AD,,http://n2t.net/ark:/99152/p0m448v373x,5,30.427842,-99.151398
975,41GL44,Late Archaic,,,2050 BC,650 AD,750 AD,http://n2t.net/ark:/99152/p0m448vtqnz,2,30.233869,-98.880564
976,41GL45,Late Archaic,,,2050 BC,650 AD,750 AD,http://n2t.net/ark:/99152/p0m448vtqnz,3,30.242932,-98.883266
977,41GL450,Prehistoric,,,12550 BC,1690 AD,,,13,30.275018,-98.935881
978,41GL451,Prehistoric,,,12550 BC,1690 AD,,,7,30.276714,-98.934029
979,41GL7,Prehistoric,,,12550 BC,1690 AD,,,1,30.238421,-98.625018
980,41HY109,Historic,,,1700 AD,1950 AD,,http://n2t.net/ark:/99152/p0m448v373x,2,29.89906,-97.926375
981,41HY13,Prehistoric,,,12550 BC,1690 AD,,,3,29.912283,-97.899281
982,41HY131,Archaic,,,6550 BC,700 AD,,http://n2t.net/ark:/99152/p07fthdxxsh,7,29.99996,-97.930184
983,41HY131,Late Prehistoric,,,630 AD,1700 AD,,http://n2t.net/ark:/99152/p0m448vvmv7,7,29.99996,-97.930184
984,41HY133,Historic,,,1700 AD,1950 AD,,http://n2t.net/ark:/99152/p0m448v373x,2,29.881639,-97.934669
985,41HY133,Prehistoric,,,12550 BC,1690 AD,,,5,29.881639,-97.934669
986,41HY133,,Ensor Projectile Point,,250 BC,550 AD,,,3,29.881639,-97.934669
987,41HY134,Historic Period,,,1690 AD,1950 AD,,http://n2t.net/ark:/99152/p07fthdvbjk,2,29.876008,-97.932441
988,41HY134,Historic,,,1700 AD,1950 AD,,http://n2t.net/ark:/99152/p0m448v373x,7,29.876008,-97.932441
989,41HY134,Paleoindian,,12550 BC,11050 BC,7850 BC,7050 BC,http://n2t.net/ark:/99152/p0m448vx5q4,2,29.876008,-97.932441
990,41HY134,Prehistoric,,,12550 BC,1690 AD,,,7,29.876008,-97.932441
991,41HY134,,Ensor Point,,250 BC,550 AD,,,5,29.876008,-97.932441
992,41HY135,Prehistoric,,,12550 BC,1690 AD,,,7,29.882745,-97.9353
993,41HY135,,Ensor Point,,250 BC,550 AD,,,4,29.882745,-97.9353
994,41HY137,Prehistoric,,,12550 BC,1690 AD,,,2,29.991637,-98.097301
995,41HY14,Historic,,,1700 AD,1950 AD,,http://n2t.net/ark:/99152/p0m448v373x,3,29.913952,-97.894933
996,41HY14,Prehistoric,,,12550 BC,1690 AD,,,3,29.913952,-97.894933
997,41HY141,Historic Period,,,1690 AD,1950 AD,,http://n2t.net/ark:/99152/p07fthdvbjk,1,29.877526,-97.933823
998,41HY141,Paleoindian,,12550 BC,11050 BC,7850 BC,7050 BC,http://n2t.net/ark:/99152/p0m448vx5q4,1,29.877526,-97.933823
999,41HY141,Prehistoric,,,12550 BC,1690 AD,,,7,29.877526,-97.933823
1000,41HY141,,Ensor Point,,250 BC,550 AD,,,5,29.877526,-97.933823
1001,41HY144,Archaic,,,6850 BC,650 AD,750 AD,http://n2t.net/ark:/99152/p07fthdxxsh,1,29.884336,-98.018427
1002,41HY147,Late Paleoindian,,,7450 BC,6850 BC,,http://n2t.net/ark:/99152/p0m448vm427,8,29.892229,-97.932657
1003,41HY147,Paleoindian,,12550 BC,11050 BC,7850 BC,7050 BC,http://n2t.net/ark:/99152/p0m448vx5q4,11,29.892229,-97.932657
1004,41HY147,Historic,,,1700 AD,1950 AD,,http://n2t.net/ark:/99152/p0m448v373x,25,29.892229,-97.932657
1005,41HY147,Early Paleoindian,,,9550 BC,8050 BC,8030 BC,http://n2t.net/ark:/99152/p07fthd7n9t,4,29.892229,-97.932657
1006,41HY147,Archaic,,,6850 BC,650 AD,750 AD,http://n2t.net/ark:/99152/p07fthdxxsh,29,29.892229,-97.932657
1007,41HY147,,Golondrina Point,,7050 BC,5050 BC,,,16,29.892229,-97.932657
1008,41HY147,Prehistoric,,,12550 BC,1690 AD,,,4,29.892229,-97.932657
1009,41HY153,Prehistoric,,,12550 BC,1690 AD,,,12,29.902204,-97.989738
1010,41HY153,Historic,,,1700 AD,1950 AD,,http://n2t.net/ark:/99152/p0m448v373x,11,29.902204,-97.989738
1011,41HY154,Prehistoric,,,12550 BC,1690 AD,,,2,29.907415,-97.954303
1012,41HY155,Prehistoric,,,12550 BC,1690 AD,,,2,29.908207,-97.956325
1013,41HY156,Prehistoric,,,12550 BC,1690 AD,,,2,29.910339,-97.961202
1014,41HY157,Prehistoric,,,12550 BC,1690 AD,,,2,29.913315,-97.966703
1015,41HY158,Prehistoric,,,12550 BC,1690 AD,,,15,29.898243,-97.941401
1016,41HY158,Historic,,,1700 AD,1950 AD,,http://n2t.net/ark:/99152/p0m448v373x,12,29.898243,-97.941401
1017,41HY160,Late Prehistoric,,,750 AD,1150 AD,1690 AD,http://n2t.net/ark:/99152/p0m448vvmv7,627,29.893635,-97.928401
1018,41HY160,Historic,,,1700 AD,1950 AD,,http://n2t.net/ark:/99152/p0m448v373x,691,29.893635,-97.928401
1019,41HY160,Prehistoric,,,12550 BC,1690 AD,,,660,29.893635,-97.928401
1020,41HY160,Archaic,,,6850 BC,650 AD,750 AD,http://n2t.net/ark:/99152/p07fthdxxsh,665,29.893635,-97.928401
1021,41HY160,Paleoindian,,12550 BC,11050 BC,7850 BC,7050 BC,http://n2t.net/ark:/99152/p0m448vx5q4,94,29.893635,-97.928401
1022,41HY160,Toyah,,1250 AD,1450 AD,1600 AD,1750 AD,http://n2t.net/ark:/99152/p0qkjhbzth5,147,29.893635,-97.928401
1023,41HY160,Middle Archaic,,,4050 BC,2050 BC,,http://n2t.net/ark:/99152/p0m448v3gsp,75,29.893635,-97.928401
1024,41HY160,Late Archaic Period,,,2299 BC,400 AD,1200 AD,http://n2t.net/ark:/99152/p0t3585b2rd,34,29.893635,-97.928401
1025,41HY160,Early Archaic,,,6850 BC,4050 BC,,http://n2t.net/ark:/99152/p0m448vxj6h,565,29.893635,-97.928401
1026,41HY160,,Castroville Point,,1050 BC,550 BC,,,34,29.893635,-97.928401
1027,41HY160,Late Archaic,,,2050 BC,650 AD,750 AD,http://n2t.net/ark:/99152/p0m448vtqnz,40,29.893635,-97.928401
1028,41HY160,,Edgewood Point,,1050 BC,450 AD,,,5,29.893635,-97.928401
1029,41HY160,,Bell Point,,6050 BC,3550 BC,,,35,29.893635,-97.928401
1030,41HY161,Early Archaic,,,6850 BC,4050 BC,,http://n2t.net/ark:/99152/p0m448vxj6h,154,29.88925,-97.935168
1031,41HY161,Historic,,,1700 AD,1950 AD,,http://n2t.net/ark:/99152/p0m448v373x,136,29.88925,-97.935168
1032,41HY161,Prehistoric,,,12550 BC,1690 AD,,,124,29.88925,-97.935168
1033,41HY161,Late Archaic,,,2050 BC,650 AD,750 AD,http://n2t.net/ark:/99152/p0m448vtqnz,66,29.88925,-97.935168
1034,41HY161,Archaic,,,6850 BC,650 AD,750 AD,http://n2t.net/ark:/99152/p07fthdxxsh,104,29.88925,-97.935168
1035,41HY161,Early Paleoindian,,,9550 BC,8050 BC,8030 BC,http://n2t.net/ark:/99152/p07fthd7n9t,12,29.88925,-97.935168
1036,41HY161,Toyah,,1250 AD,1450 AD,1600 AD,1750 AD,http://n2t.net/ark:/99152/p0qkjhbzth5,58,29.88925,-97.935168
1037,41HY161,,Gower Point,,6550 BC,5050 BC,,,2,29.88925,-97.935168
1038,41HY161,Late Archaic II,,,599 BC,600 AD,,http://n2t.net/ark:/99152/p0t35856b5j,54,29.88925,-97.935168
1039,41HY161,Austin Period,,600 AD,850 AD,1150 AD,1400 AD,http://n2t.net/ark:/99152/p0qkjhbpg5s,54,29.88925,-97.935168
1040,41HY161,Late Prehistoric,,,750 AD,1150 AD,1690 AD,http://n2t.net/ark:/99152/p0m448vvmv7,54,29.88925,-97.935168
